Id,SalePrice
1461,110142.259819430
1462,156666.140123054
1463,185726.670761525
1464,199142.495618135
1465,210018.930394259
1466,169705.193949332
1467,176157.279571336
1468,156753.634051274
1469,210824.900443689
1470,114658.841790938
1471,156539.722807156
1472,94789.454880711
1473,90317.232993173
1474,147093.228934293
1475,107187.836328678
1476,381490.223290415
1477,261750.340081951
1478,306591.529881950
1479,310313.425089536
1480,471393.020027089
1481,308028.730764661
1482,209555.290996317
1483,176175.466587355
1484,162463.583583239
1485,177757.750417828
1486,188295.229878905
1487,342594.451241296
1488,215242.463705963
1489,206720.254149905
1490,261802.277337656
1491,205398.784653053
1492,96664.084028247
1493,188607.183028044
1494,304097.328226156
1495,293708.487050075
1496,247112.444024420
1497,180373.174646591
1498,179942.313080258
1499,163524.110559220
1500,150372.704193691
1501,175493.433440831
1502,136933.692050595
1503,364546.992911981
1504,237343.994136156
1505,226529.151041968
1506,196239.972871035
1507,257258.242539312
1508,198366.011292721
1509,156757.156905245
1510,147718.608819784
1511,164018.725608426
1512,180443.666803709
1513,153394.520703732
1514,172146.363546814
1515,208311.861752355
1516,154428.039387422
1517,185543.711665812
1518,123485.910767575
1519,214752.597423698
1520,125737.911419198
1521,141793.831448713
1522,184527.178479545
1523,112408.848648114
1524,121840.648585313
1525,118969.096207720
1526,108146.743858445
1527,96533.697174917
1528,132804.180846493
1529,161220.168897185
1530,217752.203838997
1531,116283.119822068
1532,90672.021993647
1533,163066.535887122
1534,132269.646442749
1535,157149.234686043
1536,94294.466346607
1537,42457.095270644
1538,148322.783673530
1539,200214.309395486
1540,115323.780716954
1541,137854.496338608
1542,166647.143724334
1543,190186.426271470
1544,82843.351449833
1545,120952.176054991
1546,134463.442240219
1547,137013.959439048
1548,151029.193200174
1549,122068.180672254
1550,142068.976203263
1551,106167.434142589
1552,150893.137430931
1553,153730.431776009
1554,117115.742867397
1555,158874.216045827
1556,125746.945886757
1557,135432.330735224
1558,105756.902029297
1559,53685.385125453
1560,122592.234200710
1561,152286.863739529
1562,129918.217777523
1563,126621.211232249
1564,165492.959922004
1565,157847.750948542
1566,229159.682862832
1567,69817.295759936
1568,215592.943554952
1569,134183.919841183
1570,126694.855491478
1571,91881.033778256
1572,151616.573997301
1573,279690.021490504
1574,134423.792480640
1575,240948.183840820
1576,250156.607077074
1577,183375.448583724
1578,157761.442795522
1579,136439.990331469
1580,194716.195547615
1581,151497.627204415
1582,131652.300660136
1583,277899.815346652
1584,218137.619317315
1585,135182.659870462
1586,88900.783521637
1587,106839.560210227
1588,155743.812543546
1589,106229.869596696
1590,122628.086521216
1591,86546.439361505
1592,133553.101423569
1593,127001.397881509
1594,163065.230942402
1595,110694.638385423
1596,231532.529564818
1597,206287.557380570
1598,219371.319617384
1599,191506.776810943
1600,170584.591278150
1601,62136.079769442
1602,127253.854376864
1603,39742.728780236
1604,275533.341359352
1605,223579.084230955
1606,148702.709549720
1607,185841.031045938
1608,199189.160210549
1609,191153.177208857
1610,149725.568395967
1611,126361.560239959
1612,188192.539178411
1613,160066.093992778
1614,142891.741570705
1615,90619.072773566
1616,67183.898592345
1617,86529.120540921
1618,134722.220132757
1619,143190.372096157
1620,191267.608763932
1621,124859.702286129
1622,150246.328237757
1623,258599.428929174
1624,197292.808952565
1625,113767.869037221
1626,164797.346119702
1627,191240.529691550
1628,277479.474306940
1629,180791.912181821
1630,367151.639153547
1631,257526.019060844
1632,251921.788877605
1633,172037.559845332
1634,179659.335110613
1635,168966.712965290
1636,147188.882942234
1637,199522.849308575
1638,177438.680418649
1639,187174.932863907
1640,242320.550045884
1641,183106.191291141
1642,253734.554092484
1643,220547.758843799
1644,239749.232225773
1645,227140.420845007
1646,158981.490262484
1647,157079.751240838
1648,132071.465503851
1649,128198.693895531
1650,102766.226509184
1651,110357.554242159
1652,95207.884694612
1653,93703.703687090
1654,145666.841015536
1655,126347.038681556
1656,142822.197980225
1657,153118.372772914
1658,146216.759819214
1659,127582.471550844
1660,148419.756052702
1661,435300.263666691
1662,393982.073917160
1663,387274.020011403
1664,532285.828610795
1665,335369.180403293
1666,323890.942055684
1667,384506.847061670
1668,366893.736416556
1669,324483.144055094
1670,362501.076427173
1671,268299.187998280
1672,402500.756418531
1673,292400.312677160
1674,242087.113361985
1675,207370.394536838
1676,209946.678173503
1677,221163.229727945
1678,464008.047901645
1679,389983.293897685
1680,345465.178465963
1681,283416.158899732
1682,325350.780713072
1683,196181.128204417
1684,166993.198772483
1685,169202.584675079
1686,162807.438843426
1687,161991.214324063
1688,180116.453005088
1689,184153.066880024
1690,186678.621334822
1691,175395.396295295
1692,253141.437881395
1693,170653.303319080
1694,181997.601883849
1695,171424.287778277
1696,264935.375720649
1697,178664.651353472
1698,349735.216599547
1699,326341.065799863
1700,271853.093003829
1701,281861.626949085
1702,233567.345723245
1703,225687.514064826
1704,268631.133509871
1705,244066.329953483
1706,210373.923658921
1707,234296.028494808
1708,206208.825572280
1709,247909.000986963
1710,219674.674109638
1711,270036.912703849
1712,256003.912838038
1713,287732.780331895
1714,227206.218747425
1715,212036.104280957
1716,183691.190234162
1717,171620.404455902
1718,146445.582791150
1719,230186.749952954
1720,254023.285807671
1721,144518.832829078
1722,113720.610435354
1723,148304.566340951
1724,220766.659442403
1725,245344.419944375
1726,188940.062921660
1727,151327.745262892
1728,157333.504888143
1729,179810.909448796
1730,171226.458255707
1731,109791.280884780
1732,124856.601672123
1733,118176.150260493
1734,125872.970129514
1735,98207.352692491
1736,98531.597451717
1737,285490.719767225
1738,270775.588306508
1739,254395.707675305
1740,219986.152692694
1741,190948.349165093
1742,171311.303092396
1743,167767.437888942
1744,356587.718404509
1745,219167.063463708
1746,190217.106101054
1747,219394.830203728
1748,226438.424321991
1749,137952.969294893
1750,134085.877809777
1751,235937.494204480
1752,107836.909202440
1753,159740.339698209
1754,198901.872237162
1755,167469.875758295
1756,143166.773203226
1757,117153.539891230
1758,146122.947318268
1759,159450.925715522
1760,162125.898714610
1761,153303.972192054
1762,190293.083231314
1763,191247.947486476
1764,115974.573729423
1765,193510.299309402
1766,198109.120398074
1767,234631.607384033
1768,143655.540267582
1769,166758.520728638
1770,149926.298453961
1771,120752.478323164
1772,131611.452756073
1773,109549.480597775
1774,147791.117879246
1775,145059.923319342
1776,127606.338613851
1777,110091.696148249
1778,149152.371165522
1779,133271.655927895
1780,161229.023090877
1781,127752.840985640
1782,79220.311971240
1783,136251.934617954
1784,95525.197381497
1785,142761.387469673
1786,124702.775622776
1787,151628.150629136
1788,49806.636136922
1789,101075.636344929
1790,64518.104545133
1791,196323.544893837
1792,168808.201336836
1793,140930.501436859
1794,163773.463754658
1795,133022.237831283
1796,130783.906953558
1797,114815.144833657
1798,124057.873863689
1799,99490.265190017
1800,126740.784696683
1801,123932.547563358
1802,109579.723661571
1803,155872.522768712
1804,127527.921896223
1805,135267.779011240
1806,137758.421275781
1807,150539.273462056
1808,124324.619205643
1809,128836.002204390
1810,139788.945661551
1811,156361.073869319
1812,108204.321627838
1813,144092.448876288
1814,103022.169312199
1815,60455.442749444
1816,101578.686178794
1817,101015.783627358
1818,167695.925897344
1819,142439.446934339
1820,28930.421999602
1821,116017.651329496
1822,150252.794483777
1823,28366.320301256
1824,138218.327674524
1825,147756.414833855
1826,97445.173768327
1827,106416.810143011
1828,145313.334587054
1829,128763.182496119
1830,155960.387056961
1831,162728.923879780
1832,29641.912859494
1833,149913.939905343
1834,123464.686874310
1835,119636.781059680
1836,143470.915601564
1837,84903.215344401
1838,127456.917183445
1839,107662.962660506
1840,150911.450472292
1841,135218.876449075
1842,84336.429451187
1843,138853.530763946
1844,140032.074170556
1845,143655.817828999
1846,162985.837942319
1847,157513.632679232
1848,38171.319128283
1849,117777.028922618
1850,109606.880139984
1851,145444.466884683
1852,103203.236413807
1853,119228.349839080
1854,169944.822185302
1855,161190.025389131
1856,221800.366417065
1857,131339.484411168
1858,144175.328903657
1859,106133.358965725
1860,139075.201349349
1861,112803.900635331
1862,311811.665073736
1863,300601.550866640
1864,300628.493770300
1865,363523.880868359
1866,343676.177948726
1867,209439.384258201
1868,290530.791760316
1869,206329.531347504
1870,221475.490836909
1871,255943.829794513
1872,170612.965276979
1873,239102.904871649
1874,146271.268456973
1875,187488.374266189
1876,207062.742138960
1877,213748.576995718
1878,194977.443677156
1879,141764.416074786
1880,138268.277432168
1881,238968.340725096
1882,235803.311509100
1883,185418.589975426
1884,203904.680525893
1885,226086.289803141
1886,287970.135768059
1887,218466.653269427
1888,260835.944196471
1889,165050.623286634
1890,109414.673833582
1891,98646.589356438
1892,99070.987837519
1893,135740.981651321
1894,120319.981093775
1895,137477.580992655
1896,128156.430320471
1897,119444.995429834
1898,104132.829529643
1899,160224.021977580
1900,161128.188713838
1901,196134.888578518
1902,184145.380535118
1903,220486.183910274
